Model,Accuracy,Precision,Recall,F1 Score,Best Params,Accuracy (CV),Precision (CV),Recall (CV),F1 Score (CV)
SVC_java_summary,0.8836734693877552,0.7678571428571429,0.4942528735632184,0.6013986013986014,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.8438880290693762,0.6129889506731613,0.3258275058275058,0.40431310985932833
LogisticRegression_java_summary,0.8857142857142857,0.7818181818181819,0.4942528735632184,0.6056338028169014,{'clf__C': 5},0.8459578763205705,0.6086427685218008,0.31668997668997667,0.4018764897999268
MultinomialNB_java_summary,0.8346938775510204,1,0.068965517,0.12903225806451613,{},0.833505148,0.65,0.033379953,0.061686316
RandomForestClassifier_java_summary,0.889795918,0.8235294117647058,0.4827586206896552,0.6086956521739131,"{'clf__max_depth': None, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",0.849591548,0.6785079961550549,0.24391608391608396,0.3528065613649169
XGBClassifier_java_summary,0.8714285714285714,0.6818181818181818,0.5172413793103449,0.5882352941176471,"{'clf__learning_rate': 0.2, 'clf__max_depth': 10, 'clf__n_estimators': 200}",0.8283426418141444,0.5141906781604904,0.35072261072261074,0.4100939447437966
SVC_java_Ownership,1,1,1,1,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.9994818652849741,1,0.9888888888888889,0.9942857142857143
LogisticRegression_java_Ownership,1,1,1,1,{'clf__C': 5},0.9989637305699481,1,0.9777777777777779,0.9885714285714287
MultinomialNB_java_Ownership,0.9979550102249489,1,0.96,0.9795918367346939,{},0.9953367875647668,1,0.9,0.9402955665024632
RandomForestClassifier_java_Ownership,1,1,1,1,"{'clf__max_depth': None, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",0.9989637305699481,1,0.9777777777777779,0.9885714285714287
XGBClassifier_java_Ownership,1,1,1,1,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.9994818652849741,1,0.9888888888888889,0.9942857142857143
SVC_java_Expand,0.837782341,0.7666666666666667,0.5433070866141733,0.6359447004608295,"{'clf__C': 5, 'clf__kernel': 'rbf'}",0.7535325541229868,0.5607259570494865,0.36435643564356435,0.4389516124689484
LogisticRegression_java_Expand,0.8213552361396304,0.7222222222222222,0.5118110236220472,0.5990783410138248,{'clf__C': 10},0.7364381250753104,0.4796392691129533,0.32475247524752476,0.38502513490254187
MultinomialNB_java_Expand,0.7761806981519507,0.7647058823529411,0.2047244094488189,0.32298136645962733,{},0.7555796548446266,0.5389426523297491,0.11485148514851487,0.17755230844905606
RandomForestClassifier_java_Expand,0.8172484599589322,0.6862745098039216,0.5511811023622047,0.611353712,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.7483498681233348,0.5347344799803618,0.4158415841584159,0.4655746278752117
XGBClassifier_java_Expand,0.8028747433264887,0.7384615384615385,0.3779527559055118,0.5,"{'clf__learning_rate': 0.2, 'clf__max_depth': 6, 'clf__n_estimators': 200}",0.7556024152843047,0.537704934,0.3386138613861386,0.41067811944433535
SVC_java_usage,0.7885010266940452,0.7189189189189189,0.7228260869565217,0.7208672086720868,"{'clf__C': 5, 'clf__kernel': 'linear'}",0.6825829082486511,0.5936467075828782,0.5522909777987719,0.5618396230901221
LogisticRegression_java_usage,0.811088296,0.7911392405063291,0.6793478260869565,0.7309941520467836,{'clf__C': 10},0.6939671446358999,0.6230578367824616,0.5152290977798772,0.5503396276763732
MultinomialNB_java_usage,0.7885010266940452,0.8,0.5869565217391305,0.677115987,{},0.691881217,0.6418152778199935,0.4273783656117147,0.4959686270498887
RandomForestClassifier_java_usage,0.8213552361396304,0.875968992,0.6141304347826086,0.7220447284345048,"{'clf__max_depth': None, 'clf__min_samples_split': 10, 'clf__n_estimators': 50}",0.7022532835281359,0.6536812812478127,0.47257439773264054,0.5360687250427529
XGBClassifier_java_usage,0.7700205338809035,0.7769230769230769,0.5489130434782609,0.643312102,"{'clf__learning_rate': 0.2, 'clf__max_depth': 10, 'clf__n_estimators': 200}",0.6774028999477849,0.5884987776451192,0.4506188001889466,0.4969792662406916
SVC_java_Pointer,0.901840491,0.7213114754098361,0.5866666666666667,0.6470588235294118,"{'clf__C': 5, 'clf__kernel': 'linear'}",0.8927017024426351,0.63491349,0.5858439201451906,0.5882206044449547
LogisticRegression_java_Pointer,0.9161554192229039,0.8695652173913043,0.5333333333333333,0.6611570247933884,{'clf__C': 10},0.906703452,0.7619590128541536,0.5168784029038113,0.5670195841129188
MultinomialNB_java_Pointer,0.9161554192229039,1,0.4533333333333333,0.6238532110091743,{},0.9119036404010498,0.9921568627450981,0.42020568663036906,0.5119712812673978
RandomForestClassifier_java_Pointer,0.9161554192229039,0.9473684210526315,0.48,0.6371681415929203,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.9160325684678016,0.8539480913903154,0.5132486388384755,0.5922445052489324
XGBClassifier_java_Pointer,0.9120654396728016,0.9,0.48,0.6260869565217392,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 50}",0.9170782585290358,0.8202191302009814,0.5202661826981246,0.5902457053971901
SVC_java_deprecation,0.9794661190965093,0.9473684210526315,0.6666666666666666,0.782608696,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.9860237511882289,0.9642857142857142,0.76,0.8404334212261041
LogisticRegression_java_deprecation,0.9794661190965093,0.9473684210526315,0.6666666666666666,0.782608696,{'clf__C': 10},0.9860224123388359,1,0.7300000000000001,0.8352223190932868
MultinomialNB_java_deprecation,0.9671457905544147,1,0.4074074074074074,0.5789473684210527,{},0.9735911957263926,1,0.49000000000000005,0.6456391875746714
RandomForestClassifier_java_deprecation,0.9815195071868583,0.95,0.7037037037037037,0.8085106382978723,"{'clf__max_depth': None, 'clf__min_samples_split': 10, 'clf__n_estimators': 50}",0.9844680081937582,0.977124183,0.72,0.8228601542693224
XGBClassifier_java_deprecation,0.9794661190965093,0.9473684210526315,0.6666666666666666,0.782608696,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 100}",0.9839512123281253,1,0.6900000000000001,0.8056628056628057
SVC_java_rational,0.9344262295081968,0.8787878787878788,0.5087719298245614,0.6444444444444445,"{'clf__C': 5, 'clf__kernel': 'rbf'}",0.9290155440414509,0.5596153846153846,0.4133333333333333,0.4586863955716415
LogisticRegression_java_rational,0.9323770491803278,0.8333333333333334,0.5263157894736842,0.6451612903225806,{'clf__C': 10},0.9238341968911918,0.56212905,0.4223232323232324,0.45005688016206946
MultinomialNB_java_rational,0.9323770491803278,1,0.42105263157894735,0.5925925925925926,{},0.9207253886010364,0.6,0.3111111111111111,0.3948051948051948
RandomForestClassifier_java_rational,0.9344262295081968,0.8787878787878788,0.5087719298245614,0.6444444444444445,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9316062176165805,0.5945945945945945,0.4133333333333333,0.4659795557893946
XGBClassifier_java_rational,0.930327869,0.8709677419354839,0.47368421052631576,0.6136363636363636,"{'clf__learning_rate': 0.2, 'clf__max_depth': 10, 'clf__n_estimators': 100}",0.916580311,0.753968254,0.3692929292929293,0.43223091976516625
SVC_python_Usage,0.7833655705996132,0.7339449541284404,0.49079754601226994,0.5882352941176471,"{'clf__C': 5, 'clf__kernel': 'rbf'}",0.7134581105169341,0.5632055759541513,0.3374876968503937,0.4165397220505368
LogisticRegression_python_Usage,0.7678916827852998,0.6902654867256637,0.4785276073619632,0.5652173913043478,{'clf__C': 10},0.6903948065712772,0.4961861471861472,0.26384104330708663,0.338668913
MultinomialNB_python_Usage,0.7833655705996132,0.9473684210526315,0.3312883435582822,0.4909090909090909,{},0.7154152815917522,0.7045766590389017,0.14917568897637795,0.24247122842032054
RandomForestClassifier_python_Usage,0.7833655705996132,0.7073170731707317,0.5337423312883436,0.6083916083916084,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.7115382762441586,0.5396241494123137,0.5210999015748031,0.5232272708629297
XGBClassifier_python_Usage,0.7388781431334622,0.6842105263157895,0.31901840490797545,0.4351464435146444,"{'clf__learning_rate': 0.2, 'clf__max_depth': 10, 'clf__n_estimators': 200}",0.6840439369851135,0.4642112299465241,0.22315452755905513,0.29147383303259977
SVC_python_Parameters,0.7393822393822393,0.5691489361702128,0.6645962732919255,0.6131805157593123,"{'clf__C': 10, 'clf__kernel': 'linear'}",0.6544045382280677,0.44339999308519296,0.4487689038870141,0.44524102751252403
LogisticRegression_python_Parameters,0.7972972972972973,0.7058823529411765,0.5962732919254659,0.6464646464646465,{'clf__C': 10},0.6966300525124055,0.5169444444444444,0.39027621547306585,0.4424669325666458
MultinomialNB_python_Parameters,0.7876447876447876,0.8311688311688312,0.39751552795031053,0.5378151260504201,{},0.7133208074384545,0.6026885576238193,0.24641919760029993,0.34477538023883475
RandomForestClassifier_python_Parameters,0.7972972972972973,0.7089552238805971,0.5900621118012422,0.6440677966101694,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.73836778,0.6145053215863601,0.4171853518310211,0.49643234041759865
XGBClassifier_python_Parameters,0.7953667953667953,0.7272727272727273,0.546583851,0.624113475,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 200}",0.7295322060027943,0.5888500264970853,0.4171228596425447,0.48711893791839883
SVC_python_DevelopmentNotes,0.8236434108527132,0.3142857142857143,0.3384615384615385,0.32592592592592595,"{'clf__C': 10, 'clf__kernel': 'linear'}",0.8008984920749628,0.19717586,0.19820408163265307,0.19582079708445094
LogisticRegression_python_DevelopmentNotes,0.875968992,0.5172413793103449,0.23076923076923078,0.3191489361702128,{'clf__C': 10},0.8563135327841209,0.2683760683760684,0.097306122,0.14186079773621937
MultinomialNB_python_DevelopmentNotes,0.8798449612403101,0.7142857142857143,0.076923077,0.1388888888888889,{},0.8803331406272582,0.4,0.012163265306122448,0.023529411764705882
RandomForestClassifier_python_DevelopmentNotes,0.8837209302325582,0.6,0.23076923076923078,0.3333333333333333,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.866608855,0.3972222222222222,0.068653061,0.11360532993926822
XGBClassifier_python_DevelopmentNotes,0.8798449612403101,0.56,0.2153846153846154,0.3111111111111111,"{'clf__learning_rate': 0.2, 'clf__max_depth': 10, 'clf__n_estimators': 100}",0.8636616563087152,0.27215686274509804,0.076979592,0.11746289161298859
SVC_python_Expand,0.7868217054263565,0.46153846153846156,0.47058823529411764,0.46601941747572817,"{'clf__C': 10, 'clf__kernel': 'linear'}",0.7454593631064219,0.34957086305747936,0.34074074074074073,0.34176364072153576
LogisticRegression_python_Expand,0.8333333333333334,0.6333333333333333,0.37254901960784315,0.4691358024691358,{'clf__C': 10},0.8023570361805655,0.49036911374002423,0.2585185185185185,0.33196118481034126
MultinomialNB_python_Expand,0.8236434108527132,1,0.10784313725490197,0.19469026548672566,{},0.8131497807968395,0.6329411764705882,0.07712963,0.13426327866594695
RandomForestClassifier_python_Expand,0.8313953488372093,0.6415094339622641,0.3333333333333333,0.43870967741935485,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.8293310690369514,0.64455998,0.25348765432098763,0.3582321781821156
XGBClassifier_python_Expand,0.8255813953488372,0.6666666666666666,0.23529411764705882,0.34782608695652173,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 200}",0.8028436190200896,0.49615384615384617,0.22891975308641976,0.3027422003284072
SVC_python_Summary,0.7906976744186046,0.42718446601941745,0.4731182795698925,0.4489795918367347,"{'clf__C': 5, 'clf__kernel': 'linear'}",0.7788348508936743,0.3750009192866336,0.3380517503805175,0.3478846886463834
LogisticRegression_python_Summary,0.8313953488372093,0.55,0.3548387096774194,0.43137254901960786,{'clf__C': 10},0.819528352,0.4935998487485902,0.271689498,0.3395468942048582
MultinomialNB_python_Summary,0.8313953488372093,1,0.064516129,0.12121212121212122,{},0.8268764754058872,0.8,0.027739726,0.053268848
RandomForestClassifier_python_Summary,0.8236434108527132,0.5333333333333333,0.17204301075268819,0.2601626016260163,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.8332490244254951,0.6442063492063492,0.1636605783866058,0.2435987770134111
XGBClassifier_python_Summary,0.813953488,0.4727272727272727,0.27956989247311825,0.35135135135135137,"{'clf__learning_rate': 0.2, 'clf__max_depth': 6, 'clf__n_estimators': 200}",0.8312882401117696,0.564817912,0.2743531202435312,0.358438712
SVC_pharo_Keyimplementationpoints,0.8607242339832869,0.47368421052631576,0.375,0.4186046511627907,"{'clf__C': 10, 'clf__kernel': 'linear'}",0.8265111935589713,0.33297887576083063,0.2837837837837838,0.29996010134503714
LogisticRegression_pharo_Keyimplementationpoints,0.8662952646239555,0.5,0.10416666666666667,0.1724137931034483,{'clf__C': 10},0.8577648216854697,0.32764705882352946,0.13663663663663664,0.18914937063471787
MultinomialNB_pharo_Keyimplementationpoints,0.8690807799442897,1,0.020833333333333332,0.040816327,{},0.869841751,0.2,0.005405405,0.010526315789473684
RandomForestClassifier_pharo_Keyimplementationpoints,0.8690807799442897,0.6666666666666666,0.041666666666666664,0.078431373,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.8684258347845839,0.43,0.054504505,0.094080077
XGBClassifier_pharo_Keyimplementationpoints,0.8579387186629527,0.2857142857142857,0.041666666666666664,0.072727273,"{'clf__learning_rate': 0.2, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8727114409025518,0.6264102564102564,0.15795795795795797,0.24214807555770732
SVC_pharo_Example,0.8179271708683473,0.7604790419161677,0.8355263157894737,0.7962382445141066,"{'clf__C': 10, 'clf__kernel': 'linear'}",0.7088034123318442,0.6608248622161137,0.6912745098039216,0.663768425
LogisticRegression_pharo_Example,0.8571428571428571,0.8482758620689655,0.8092105263157895,0.8282828282828283,{'clf__C': 5},0.737977335,0.725034773,0.6326470588235293,0.661557137
MultinomialNB_pharo_Example,0.803921569,0.91,0.5986842105263158,0.7222222222222222,{},0.703914591,0.8183877922496849,0.3844957983193277,0.5130325221211122
RandomForestClassifier_pharo_Example,0.8543417366946778,0.8333333333333334,0.8223684210526315,0.8278145695364238,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.7720779384669745,0.738987436,0.7182212885154062,0.7212235535593285
XGBClassifier_pharo_Example,0.8263305322128851,0.78125,0.8223684210526315,0.8012820512820513,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.7557154034476666,0.7003237218902231,0.7551960784313725,0.7194944041253744
SVC_pharo_Responsibilities,0.7883008356545961,0.4492753623188406,0.4492753623188406,0.4492753623188406,"{'clf__C': 10, 'clf__kernel': 'linear'}",0.7560939905605613,0.3884024368066921,0.37400419287211734,0.36361417838406024
LogisticRegression_pharo_Responsibilities,0.8050139275766016,0.48936170212765956,0.3333333333333333,0.39655172413793105,{'clf__C': 10},0.7760001009565635,0.40860144509176155,0.2464011180992313,0.28632216235813035
MultinomialNB_pharo_Responsibilities,0.807799443,0,0,0,{},0.8108099240301861,0.2,0.003703704,0.007272727
RandomForestClassifier_pharo_Responsibilities,0.807799443,0.5,0.072463768,0.12658227848101267,"{'clf__max_depth': None, 'clf__min_samples_split': 10, 'clf__n_estimators': 50}",0.812230888,0.5458333333333333,0.048357791754018165,0.08025974
XGBClassifier_pharo_Responsibilities,0.7966573816155988,0.4523809523809524,0.2753623188405797,0.34234234234234234,"{'clf__learning_rate': 0.2, 'clf__max_depth': 6, 'clf__n_estimators': 200}",0.7817167663612731,0.4565553418429795,0.32921034241788955,0.3623649639825361
SVC_pharo_Classreferences,0.9467787114845938,0.375,0.17647058823529413,0.24,"{'clf__C': 5, 'clf__kernel': 'linear'}",0.9474571565583908,0.4162121212121212,0.16666666666666666,0.21416525503482023
LogisticRegression_pharo_Classreferences,0.9523809523809523,0.5,0.11764705882352941,0.19047619047619047,{'clf__C': 10},0.9552585749981072,0.4,0.066666667,0.11076923076923077
MultinomialNB_pharo_Classreferences,0.9523809523809523,0,0,0,{},0.9573862345725752,0,0,0
RandomForestClassifier_pharo_Classreferences,0.9551820728291317,1,0.058823529411764705,0.1111111111111111,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.9580979783448171,0.2,0.016666666666666666,0.030769231
XGBClassifier_pharo_Classreferences,0.9523809523809523,0.5,0.17647058823529413,0.2608695652173913,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200}",0.9488680245324449,0.29880952380952375,0.1,0.14234335839598997
SVC_pharo_Intent,0.9213483146067416,0.7741935483870968,0.5333333333333333,0.631578947,"{'clf__C': 5, 'clf__kernel': 'linear'}",0.9148380909113853,0.6928688049608314,0.5899159663865546,0.6315174627632254
LogisticRegression_pharo_Intent,0.9269662921348315,0.9130434782608695,0.4666666666666667,0.6176470588235294,{'clf__C': 10},0.9141212993109715,0.7960446080989375,0.4391596638655463,0.5528969213874875
MultinomialNB_pharo_Intent,0.8735955056179775,0,0,0,{},0.8793468110345524,0.4,0.017310924369747897,0.033050193
RandomForestClassifier_pharo_Intent,0.9185393258426966,1,0.35555555555555557,0.5245901639344263,"{'clf__max_depth': None, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}",0.9155447868554555,0.9134615384615385,0.34705882352941175,0.5014444444444445
XGBClassifier_pharo_Intent,0.9466292134831461,0.9642857142857143,0.6,0.7397260273972602,"{'clf__learning_rate': 0.2, 'clf__max_depth': 6, 'clf__n_estimators': 50}",0.9155473107695414,0.7327390180878554,0.5379831932773109,0.6061775403382839
SVC_pharo_Keymessages,0.8547486033519553,0.6078431372549019,0.49206349206349204,0.543859649,"{'clf__C': 5, 'clf__kernel': 'linear'}",0.7903636960197875,0.39727625503487574,0.2897108843537415,0.3286258474586955
LogisticRegression_pharo_Keymessages,0.8687150837988827,0.8636363636363636,0.30158730158730157,0.4470588235294118,{'clf__C': 10},0.8287625249236517,0.5604138551506972,0.20323129251700683,0.2930632616753793
MultinomialNB_pharo_Keymessages,0.8519553072625698,1,0.15873015873015872,0.273972603,{},0.8365487998788522,0.6799999999999999,0.062329932,0.10794359736231658
RandomForestClassifier_pharo_Keymessages,0.8603351955307262,0.76,0.30158730158730157,0.4318181818181818,"{'clf__max_depth': None, 'clf__min_samples_split': 10, 'clf__n_estimators': 50}",0.8457964210898261,0.6556709956709957,0.21947278911564622,0.3186077003320924
